#  ___  _____  _____  __  __  ____  
# |_ _||_   _|| ____||  \/  |/ ___| 
#  | |   | |  |  _|  | |\/| |\___ \ 
#  | |   | |  | |___ | |  | | ___) |
# |___|  |_|  |_____||_|  |_||____/ 

* Monster Candy
* Croquet Roll 
* Stick
 item_name_4, Bandage 
 item_nameb_56, UndynLetr 
 item_nameb_57, UndynLtrX 
 item_nameb_58, PT Chisps 
 item_nameb_59, Junk Food 
 item_nameb_60, MystryKey 
 item_nameb_61, FaceSteak 
 item_nameb_62, HushPupe 
 item_nameb_63, Snail Pie 
 item_nameb_64, Temmie AR 
 item_names_0,  
 item_names_1, MnstrCndy 
 item_names_2, CroqtRoll 
 item_names_3, Stick 
 item_names_4, Bandage 
 item_names_5, RockCandy 
 item_names_6, PmknRings 
 item_names_7, SpdrDonut 
 item_names_8, Onion 
 item_names_9, GhstFruit 
 item_names_10, SpdrCider 
 item_names_11, Pie 
 item_names_12, Ribbon 
 item_names_13, Toy Knife 
 item_names_14, Glove 
 item_names_15, Bandanna 
 item_names_16, SnowPiece 
 item_names_17, NiceCream 
 item_names_18, Ice Cream 
 item_names_19, Bisicle 
 item_names_20, Popsicle 
 item_names_21, C. Bun 
 item_names_22, TemFlakes 
 item_names_23, Quiche 
 item_names_24, Tutu 
 item_names_25, Shoes 
 item_names_26, PunchCard 
 item_names_27, Dog 
 item_names_28, Dog Salad 
 item_names_29, D.Residue 
 item_names_30, D.Residue 
 item_names_31, D.Residue 
 item_names_32, D.Residue 
 item_names_33, D.Residue 
 item_names_34, D.Residue 
 item_names_35, Astr.Food 
 item_names_36, I.Noodles 
 item_names_37, CrabApple 
 item_names_38, Hot Dog 
 item_names_39, Hot Cat 
 item_names_40, G. Burger 
 item_names_41, Sea Tea 
 item_names_42, Starfait 
 item_names_43, L. Hero 
 item_names_44, Glasses 
 item_names_45, Notebook 
 item_names_46, Apron 
 item_names_47, Burnt Pan 
 item_names_48, CowboyHat 
 item_names_49, Empty Gun 
 item_names_50, H. Locket 
 item_names_51, W. Dagger 
 item_names_52, RealKnife 
 item_names_53, TheLocket 
 item_names_54, BadMemory 
 item_names_55, LastDream 
 item_names_56, Letter 
 item_names_57, Letter 
 item_names_58, Chips 
 item_names_59, Junk Food 
 item_names_60, Key 
 item_names_61, Steak 
 item_names_62, HushPuppy 
 item_names_63, Snail Pie 
 item_names_64, Tem.Armor 
 item_desc_0_0,  If you are reading this,  I messed up somehow. 
 item_desc_1_0,   + '' + Monster Candy + '' +  - Heals 10 HP Has a distinct,   non-licorice flavor. 
 item_desc_2_0,   + '' + Croquet Roll + '' +  - Heals 15 HP Fried dough traditionally  served with a mallet. 
 item_desc_3_0,   + '' + Stick + '' +  - Weapon AT 0 Its bark is worse than  its bite. 
 item_desc_4_0,   + '' + Bandage + '' +  - Heals 10 HP It has already been used  several times. 
 item_desc_5_0,   + '' + Rock Candy + '' +  - Heals 1 HP Here is a recipe to make  this at home: 
 item_desc_5_1,  1. Find a rock 
 item_desc_6_0,   + '' + Pumpkin Rings + '' +  - Heals 8 HP A small pumpkin cooked  like onion rings. 
 item_desc_7_0,   + '' + Spider Donut + '' +  - Heals 12 HP A donut made with Spider  Cider in the batter. 
 item_desc_8_0,   + '' + Stoic Onion + '' +  - Heals 5 HP Even eating it raw, the  tears just won't come. 
 item_desc_9_0,   + '' + Ghost Fruit + '' +  - Heals 16 HP If eaten, it will never  pass to the other side. 
 item_desc_10_0,   + '' + Spider Cider + '' +  - Heals 24 HP Made with whole spiders,  not just the juice. 
 item_desc_11_0,   + '' + Butterscotch Pie + '' +  - All HP Butterscotch-cinnamon  pie, one slice. 
 item_desc_12_0,   + '' + Faded Ribbon + '' +  - Armor DF 3 If you're cuter, monsters  won't hit you as hard. 
 item_desc_13_0,   + '' + Toy Knife + '' +  - Weapon AT 3 Made of plastic. A rarity nowadays. 
 item_desc_14_0,   + '' + Tough Glove + '' +  - Weapon AT 5 A worn pink leather glove. For five-fingered folk. 
 item_desc_15_0,   + '' + Manly Bandanna + '' +  - Armor DF 7 It has seen some wear. It has abs drawn on it. 
 item_desc_16_0,   + '' + Snowman Piece + '' +  - Heals 45 HP Please take this to the  ends of the earth. 
 item_desc_17_0,   + '' + Nice Cream + '' +  - Heals 15 HP Instead of a joke, the  wrapper says something nice. 
 item_desc_18_0,   + '' + Puppydough Icecream + '' +  Heals 28 HP. Made by young pups. 
 item_desc_19_0,   + '' + Bisicle + '' +  - Heals 11 HP It's a two-pronged popsicle,  so you can eat it twice. 
 item_desc_20_0,   + '' + Unisicle + '' +  - Heals 11 HP It's a SINGLE-pronged popsicle. Wait, that's just normal... 
 item_desc_21_0,   + '' + Cinnamon Bunny + '' +  - Heals 22 HP A cinnamon roll in the shape  of a bunny. 
 item_desc_22_0,   + '' + Temmie Flakes + '' +  - Heals 2 HP It's just torn up pieces  of colored construction paper. 
 item_desc_23_0,   + '' + Abandoned Quiche + '' +  Heals 34 HP A psychologically damaged  spinach egg pie. + '' 
 item_desc_24_0,   + '' + Old Tutu + '' +  - Armor DF 10 Finally, a protective piece  of armor. 
 item_desc_25_0,   + '' + Ballet Shoes + '' +  - Wpn AT 7 These used shoes make you  feel incredibly dangerous. 
 item_desc_26_0,   + '' + Punch Card + '' +  - Battle Item Use to make punching attacks  stronger in one battle. 
 item_desc_26_1,  Use outside of battle to  look at the card. 
 item_desc_27_0,   + '' + Annoying Dog + '' +  - Dog A little white dog. It's fast asleep... 
 item_desc_28_0,   + '' + Dog Salad + '' +  - Heals ?? HP Recovers HP. Hit Poodles. 
 item_desc_29_0,   + '' + Dog Residue + '' +  - Dog Item Shiny trail left  behind by a dog. 
 item_desc_30_0,   + '' + Dog Residue + '' +  - Dog Item Dog-shaped husk shed  from a dog's carapace. 
 item_desc_31_0,   + '' + Dog Residue + '' +  - Dog Item Dirty dishes left  unwashed by a dog. 
 item_desc_32_0,   + '' + Dog Residue + '' +  - Dog Item Glowing crystals secreted  by a dog. 
 item_desc_33_0,   + '' + Dog Residue + '' +  - Dog Item Jigsaw puzzle left  unfinished by a dog. 
 item_desc_34_0,   + '' + Dog Residue + '' +  - Dog Item Web spun by a dog  to ensnare prey. 
 item_desc_35_0,   + '' + Astronaut Food + '' +  Heals 21 HP For feeding a pet  astronaut. 
 item_desc_36_0,   + '' + Instant Noodles + '' +  Heals HP Comes with everything you  need for a quick meal! 
 item_desc_37_0,   + '' + Crab Apple + '' +  Heals 18 HP An aquatic fruit that  resembles a crustacean. 
 item_desc_38_0,   + '' + Hot Dog...? + '' +  Heals 20 HP The  + '' + meat + '' +  is made of something  called a  + '' + water sausage. + '' +  
 item_desc_39_0,   + '' + Hot Cat + '' +  Heals 21 HP Like a hot dog, but with  little cat ears on the end. 
 item_desc_40_0,   + '' + Glamburger + '' +  Heals 27 HP A hamburger made of edible  glitter and sequins. 
 item_desc_41_0,   + '' + Sea Tea + '' +  Heals 10 HP Made from glowing marshwater. Increases SPEED for one battle. 
 item_desc_42_0,   + '' + Starfait + '' +  Heals 14 HP A sweet treat made of  sparkling stars. 
 item_desc_43_0,   + '' + Legendary Hero + '' +  Heals 40 HP Sandwich shaped like a sword. Increases ATTACK when eaten. 
 item_desc_44_0,   + '' + Cloudy Glasses + '' +  - Armor DF 6 Glasses marred with wear. Increases INV by 9. 
 item_desc_44_1,  After you get hurt by an  attack, you stay invulnerable  for longer. 
 item_desc_45_0,   + '' + Torn Notebook + '' +  - Weapon AT 2 Contains illegible scrawls. Increases INV by 6. 
 item_desc_45_1,  After you get hurt by an  attack, you stay invulnerable  for longer. 
 item_desc_46_0,   + '' + Stained Apron + '' +  - Armor DF 11 Heals 1 HP every other  turn. 
 item_desc_47_0,   + '' + Burnt Pan + '' +  - Weapon AT 10 Damage is rather consistent. Consumable items heal 4 more HP. 
 item_desc_48_0,   + '' + Cowboy Hat + '' +  - Armor DF 12 This battle-worn hat makes you  want to grow a beard. 
 item_desc_48_1,  It also raises ATTACK by 5. 
 item_desc_49_0,   + '' + Empty Gun + '' +  - Weapon AT 12 An antique revolver. It has no ammo. 
 item_desc_49_1,  Must be used precisely, or  damage will be low. 
 item_desc_50_0,   + '' + Heart Locket + '' +  - Armor DF 15 It says  + '' + Best Friends Forever. + '' +  
 item_desc_51_0,   + '' + Worn Dagger + '' +  - Weapon AT 15 Perfect for cutting plants  and vines. 
 item_desc_52_0,   + '' + Real Knife + '' +  - Weapon AT 99 Here we are! 
 item_desc_53_0,   + '' + The Locket + '' +  - Armor DF 99 You can feel it beating. 
 item_desc_54_0,   + '' + Bad Memory + '' +  Hurts 1 HP ????? 
 item_desc_55_0,   + '' + Dream + '' +  Heals 12 HP The goal of  + '' + Determination. + '' +  
 item_desc_56_0,   + '' + Undyne's Letter + '' +  - Unique Letter written for Dr.  Alphys. 
 item_desc_57_0,   + '' + Undyne's Letter EX + '' +  - Unique It has DON'T DROP IT  written on it. 
 item_desc_58_0,   + '' + Popato Chisps + '' +  Heals 13 HP Regular old popato chisps. 
 item_desc_59_0,   + '' + Junk Food + '' +  Heals 17 HP Food that was probably  once thrown away. 
 item_desc_60_0,   + '' + Mystery Key + '' +  Unique It is too bent to fit on  your keychain. 
 item_desc_61_0,   + '' + Face Steak + '' +  Heals 60 HP Huge steak in the shape  of Mettaton's face. 
 item_desc_61_1,  You don't feel like it's  made of real meat... 
 item_desc_62_0,   + '' + Hush Puppy + '' +  Heals 65 HP This wonderful spell will stop  a dog from casting magic. 
 item_desc_63_0,   + '' + Snail Pie + '' +  - Heals Some HP An acquired taste. 
 item_desc_64_0,   + '' + temy armor + '' +  - Armor DF 20 The things you can do with  a college education! 
 item_desc_64_1,  Raises ATTACK when worn. Recovers HP every other turn. INV up slightly. 
 monstername_1, TestFroggit 
 monstername_2, Dummy 
 monstername_3, Froggit 
 monstername_4, Froggit 
 monstername_5, Whimsun 
 monstername_6, Moldsmal 
 monstername_7, Migosp 
 monstername_8, Vegetoid 
 monstername_9, Loox 
 monstername_10, Toriel 
 monstername_11, Napstablook 
 monstername_12, Moldsmal 
 monstername_13, Doggo 
 monstername_14, Lesser Dog 
 monstername_15, Dogamy 
 monstername_16, Dogaressa 
 monstername_17, Greater Dog 
 monstername_18, Snowdrake 
 monstername_18b, Chilldrake 
 monstername_19, Ice Cap 
 monstername_20, Ice 
 monstername_21, Jerry 
 monstername_22, Gyftrot 
 monstername_23, Aaron 
 monstername_24, Temmie 
 monstername_25, Papyrus 
 monstername_26, Moldsmal 
 monstername_26b, Moldbygg 
 monstername_28, Woshua 
 monstername_29, Shyren 
 monstername_30, Agent 
 monstername_31, Mad Dummy 
 monstername_32, Undyne 
 monstername_33, Mettaton 
 monstername_34, RG 01 
 monstername_35, RG 02 
 monstername_36, Tsunderplane 
 monstername_37, Vulkin 
 monstername_38, Pyrope 
 monstername_39, Muffet 
 monstername_40, Mettaton 
 monstername_41, Undyne 
 monstername_42, Madjick 
 monstername_43, Knight Knight 
 monstername_44, Final Froggit 
 monstername_45, Astigmatism 
 monstername_46, Whimsalot 
 monstername_47, Bomb 
 monstername_47a, Annoying Dog 
 monstername_47b, Extremely Agile Glass     Of Water 
 monstername_47c, Script Bomb 
 monstername_47d, Basket Bomb 
 monstername_47e, Present Bomb 
 monstername_47f, Game Bomb 
 monstername_48, RG 03 
 monstername_49, RG 04 
 monstername_50, Mettaton 
 monstername_51, Mettaton EX 
 monstername_52, Asgore 
 monstername_53, Lemon Bread 
 monstername_54, , 
 monstername_54b, Reaper Bird 
 monstername_55, Amalgamate 
 monstername_56,       
 monstername_56b, Memoryhead 
 monstername_57, Amalgamate 
 monstername_57b, Endogeny 
 monstername_58, Lost Soul 
 monstername_59, Lost Soul 
 monstername_60, Lost Soul 
 monstername_61, Lost Soul 
 monstername_62, Lost Soul 
 monstername_63, Lost Soul 
 monstername_64, Monster Kid 
 monstername_65, Undyne the Undying 
 monstername_66, Glad Dummy 
 monstername_67, Mettaton NEO 
 monstername_68, Sans 
 monstername_70, Final Froggit 
 monstername_71, Astigmatism 
 monstername_72, Whimsalot 
 monstername_73, Migospel 
 monstername_74, Moldessa 
 monstername_75, Parsnik 
 monstername_76, Glyde 
 monstername_80, So Sorry 
 monstername_81, Doodlebog 
 monstername_99, Asriel Dreemurr 
 monstername_100, Asriel 
 monstername_666, Gaster 
 phonename_201, Say Hello 
 phonename_202, Puzzle Help 
 phonename_203, About Yourself 
 phonename_204, Call Her  + '' + Mom + '' 
 phonename_205, Flirt 
 phonename_206, Toriel's Phone 
 phonename_210, Papyrus's Phone 
 phonename_210b, Papyrus and Undyne 
 phonename_220, Dimensional Box A 
 phonename_221, Dimensional Box B 
# yes, Yes 
# no, No 
   You bid a quiet farewell  to the \[I]. 
   You put the \[I]  on the ground and gave it a  little pat. 
   You threw the \[I]  on the ground like the piece  of trash it is. 
   You abandoned the   \[I]. 
   The \[I] was  thrown away. 
      I'm outta here. 
      I've got better to do. 
      Escaped... 
      Don't slow me down. 
      Ran away with \[1] EXP     and \[2] GOLD. 
   The shadow of the ruins  looms above, filling you with  determination. 
   HP fully restored. 
   Playfully crinkling through  the leaves fills you with  determination. 
   HP fully restored. 
   Knowing the mouse might one  day leave its hole and  get the cheese... 
   It fills you with  determination. 
   Seeing such a cute, tidy  house in the RUINS gives  you determination. 
   Determination. 
   The cold atmosphere of a  new land... it fills you  with determination. 
   The convenience of that  lamp still fills you  with determination. 
   Knowing the mouse might one  day find a way to heat  up the spaghetti... 
   It fills you with  determination. 
   Knowing that dog will  never give up trying to  make the perfect snowdog... 
   It fills you with  determination. 
   Snow can always be broken  down and rebuilt into  something more useful. 
   This simple fact fills  you with determination. 
   The sight of such a friendly  town fills you with  determination. 
   The sound of rushing water  fills you with  determination. 
   A feeling of dread hangs  over you... But you stay determined. 
   Knowing the mouse might one  day extract the cheese from  the mystical crystal... 
   It fills you with  determination. 
   The sound of muffled rain  on the cavetop... 
   The serene sound of a  distant music box... 
   It fills you with  determination. 
   The feeling of your socks  squishing as you step  gives you determination. 
   The waterfall here seems  to flow from the  ceiling of the cavern... 
   Occasionally, a piece of  trash will flow  through... 
   ... and fall into the  bottomless abyss below. 
   Viewing this endless  cycle of worthless  garbage... 
   It fills you with  determination. 
   Partaking in worthless  garbage fills you  with determination. 
   You feel a calming  tranquility. You're filled  with determination... 
   You feel... something. You're filled with  detemmienation. 
   The wind is howling. You're filled with  determination... 
   The howling wind is  now a breeze. This gives  you determination... 
   The wind has stopped. You're filled with  determination... 
   Seeing such a strange  laboratory in a place like  this... 
   You're filled with  determination. 
   The wooshing sound of steam  and cogs... it fills you  with determination. 
   An ominous structure looms  in the distance... 
   You're filled with  determination. 
   Knowing the mouse might one  day hack the computerized  safe and get the cheese... 
   It fills you with  determination. 
   A huge structure lies north. You're filled with  determination. 
   The relaxing atmosphere  of this hotel... it fills  you with determination. 
   The air is filled with  the smell of ozone... it fills  you with determination. 
   Behind this door must be  the elevator to the King's  castle. 
* You're filled with determination.
* The smell of cobwebs fills the air... 
* You're filled with determination. 
* You leave the Quiche on the ground and tell it you'll be right back. 
* Use the box? # Yes : No        
* You have no items. You put a little time into the box. 
* You have no items. You put a little effort into the box. 
* You have no items. You put a little feeling into the box.

#  ____  ___     _     _      ___    ____ 
# |  _ \|_ _|   / \   | |    / _ \  / ___|
# | | | || |   / _ \  | |   | | | || |  _ 
# | |_| || |  / ___ \ | |___| |_| || |_| |
# |____/|___|/_/   \_\|_____|\___/  \____|

* toki a! mi kasi Flowey a! mi kasi jelo a!
* nnn...
* sina sin e lon ma anpa anu seme?
* a! sina sona ala!
* jan li pana sina e sona.

# This one next!
* I guess little old me will have to do.

* sina anu seme? o kama!
* ni li nasin.

* Welcome to your new home, innocent one. 
* Allow me to educate you in the operation of the RUINS. 
* The RUINS are full of  puzzles. 
* Ancient fusions between diversions and doorkeys. 
* One must solve them to move from room to room. 
* Please adjust yourself to the sight of them. 
* To make progress here, you will need to trigger several switches. 
* Do not worry, I have labelled the ones that you need to flip.
* ... eh? It seems that the labelling has worn away. 
* Oh dear. 
* This might be far more challenging than I anticipated... 
* The first switch is over on the wall. 
* Do you need some help..? Press the switch on the wall. 
* Come on, you can do it! 
* Go on, press the switch on the left. 
* I believe it was the switch on the left. 
* You do know which way left is, do you not? 
* Press the switch that I labelled for you. 
* You do know which way left is, do you not? 
* You are very curious, are you not? 
* Please understand. I only want the best for you. 
* Splendid! I am proud of you, little one. 
* Let us move to the next room. 
* As a human living in the UNDERGROUND, monsters may attack you. 
* You will need to be prepared for this situation. 
* However, worry not! The process is simple.
* When you encounter a monster, you will enter a FIGHT. 
* While you are in a FIGHT, strike up a friendly conversation. 
* Stall for time. I will come to resolve the conflict. 
* Practice talking to the dummy. 
* Ahh, the dummies are not for fighting! They are for talking! 
* We do not want to hurt anybody, do we...? Come now. 
* Ah, very good! You are very good.
* ... 
* ... you ran away... 
* Truthfully, that was not a poor choice. 
* It is better to avoid conflict whenever possible. 
* That... however, is only a dummy. It cannot harm you. 
* It is made of cotton. It has no desire for revenge... 
* Nevermind. Stay close to me and I will keep you safe. 
* The next room awaits. 
* Practice talking to the dummy. 
* You can say anything... I do not think the dummy will be bothered. 
* Do you need some ideas for conversation topics? 
* Well, I often start with a simple 'how do you do...' 
* You could ask them about  their favorite books... 
* Jokes can be useful for 'breaking the ice.' 
* Listen to this one...
* What did the skeleton  tile his roof with? 
* ... SHIN-gles! 
* ... 
* Well, I thought it was amusing. 
* Practice talking to the dummy. 
* You can say anything... The dummy will not be bothered. 
* There is another puzzle in this room... 
* I wonder if you can solve it? 
* This is the puzzle, but... 
* Here, take my hand for a moment. 
* Puzzles seem a little too dangerous for now. 
* ... 
* Greetings, my child. Do not worry, I did not leave you. 
* I was merely behind this pillar the whole time. 
* Thank you for trusting me.
* However, there was an important reason for this exercise.
* ... to test your  independence.
* I must attend to some business, and you must stay alone for a while. 
* Please remain here. It's dangerous to explore by yourself. 
* I have an idea. I will give you a CELL PHONE. 
* If you have a need for anything, just call. 
* Be good, alright? 
* You have done excellently thus far, my child. 
* However... I have a difficult request to ask of you. 
* ... 
* I would like you to walk to the end of the room by yourself. 
* Forgive me for this. 
* Ring...
* Hello? This is TORIEL. 
* For no reason in particular... Which do you prefer? 
* Cinnamon or butterscotch? # Cinnamon Bscotch  
* Oh, I see. Thank you very much! 
* Click... 

# RANDOM NPCS AND SHOP-OWNERS

* It's a fishing rod affixed to the ground... 
* Reel it in? # Yes : No        
* All that's attached to the end is a photo of a weird-looking monster... 
* Call Me! Here's my number!
* You decide not to call. 
* All that's attached to the end is a note. 
* Nevermind, guys! 
* You leave it alone. 
* I shouldn't have given myself away so easily... 
* Did you just... Consume the part of me I had given you? 
* In front of my very eyes!? 
* I have no words for you... Begone! 
* Thank you for taking care of me... 
* Huh? Again...? 
* I'm sorry... if I give you any more, there will be nothing left of me. 
* I suppose it is true. Travelling beyond our limits is but a fantasy. 
* It's no different for anyone else. 
* All of monsterkind are doomed to stay underground, forever... 
* How am I doing? By "I" I mean the piece of me I gave you... 
* Huh? You lost it...? ... I suppose I can give you another piece... 
* You don't have any room? OK... I understand I am not a priority for you, then. 
* Please be careful this time. 
* You got the Snowman Piece. 
* Hello. I am a snowman. 
* I want to see the world... But I cannot move.
* If you would be so kind, traveller, please...
* Take a piece of me and bring it very far away. # Yes : No        
* It seems you do not have enough room for me. 
* Thank you... good luck! 
* You got the Snowman  Piece. 
* I see. Good journey, then.

# SANS AND PAPYRUS

* SANS!!! THAT DIDN'T DO ANYTHING! 
* SANS!!! THEY DIDN'T EVEN LOOK AT IT! 
* whoops. 
* i knew i should have used today's crossword instead. 
* WHAT!? CROSSWORD!? 
* I CAN'T BELIEVE YOU SAID THAT!! 
* IN MY OPINION...
* JUNIOR JUMBLE IS EASILY THE HARDEST. 
* what? really, dude? that easy-peasy word scramble? 
* that's for baby bones. 
* UN. BELIEVABLE. 
* HUMAN!!! SOLVE THIS DISPUTE! 
* Which is harder? # Jumble Crossword   
* HA! HA! YES! 
* HUMANS MUST BE VERY INTELLIGENT! 
* IF THEY ALSO FIND JUNIOR JUMBLE SO DIFFICULT! 
* NYEH! HEH! HEH HEH! 
* YOU TWO ARE WEIRD! 
* CROSSWORDS ARE SO EASY. 
* IT'S THE SAME SOLUTION EVERYTIME. 
* I JUST FILL ALLTHE BOXES IN WITH THE LETTER "Z" ... 
* BECAUSE EVERY TIME I LOOK AT ACROSS WORD... 
* ALL I CAN DO IS SNORE!!! 
* NYEH HEH HEH!!!

# MORE RANDOM NPCS AND SHOP KEEPERS

* Hello! Would you like some Nice Cream? 
* It's the frozen treat that warms your heart! 
* Now just 15G! # Yes : No  
* Nice Cream! It's the frozen treat  that warms your heart! 
* Now just 15G! # Yes : No
* Here you go! Have a super-duper day! You got the Nice Cream. 
* Huh? You don't have enough money... 
* I wish I could make Nice Cream for free... 
* It looks like you're holding too much stuff! Oh well! 
* Well then... Tell your friends... 
* There's ice cream... Out in the middle of the woods... 
* Hello! Would you like some Nice Cream? 
* It's the frozen treat that warms your heart! 
* Now just 25G! # Yes : No  
* Nice Cream! It's the frozen treat that warms your heart! 
* Now just 25G! # Yes : No  
* Hey, you have an umbrella, just like my cart...
* Such solidarity! I have no choice but to give you a deal! 
* Discount Ice Cream! 15G! # Yes : No  
* Umbrella solidarity!? I guess I have to give you a deal... 
* Discount Ice Cream! 15G! # Yes : No  
* Hey! You have 3 Punch Cards! 
* How about redeeming them for some Nice Cream!? 
* It's free! # Yes : No  
* Super! Here you go! Your Card's in the box! You got the Nice Cream. 
* Huh? No money? Sorry, I can't give it to you for free. 
* Huh? You can't afford it even with the discount? I... 
* It looks like you're holding too much stuff! Oh well! 
* Here! A free Nice Cream! You lost 3 cards and got a Nice Cream. 
* Well then... Tell your friends... 
* There's ice cream... Hidden in the depths of a watery cavern...

# SANS FRIED SNOW JOKE

* i've been thinking about selling treats too. 
* want some fried snow? it's just 5G. # Buy No 
* did i say 5G? i meant 50G. # Buy No 
* you're right. 
* i should charge way more than that. 
* really? how about 5000G? # Buy No 
* you're right. 
* that's still too low. 
* 50000G. that's my final offer. # Buy No 
* i have to pay for the raw materials somehow. 
* what? you don't have the money? 
* hey, that's okay. 
* i don't have any snow. 
* wow, that's a lot of cash. 
* that's why i'm sorry to say... 
* i can't sell you this fried snow. 
* it's got too much sentimental value.
* don't you know a good deal when you hear one?

# PAPYRUS

* WHAT!? HOW DID YOU AVOID MY TRAP?
* AND, MORE IMPORTANTLY... 
* IS THERE ANY LEFT FOR ME??? 
* What do you tell Papyrus about his spaghetti? # Ate it : Left it
* REALLY!? 
* WOWIE... 
* NO ONE'S EVER ENJOYED MY COOKING BEFORE... 
* WELL THEN!! 
* WOWIE... 
* YOU RESISTED THE FLAVOR OF MY HOME COOKED PASTA... 
* JUST SO YOU COULD SHARE IT WITH ME??? 
* FRET NOT HUMAN! I, MASTER CHEF PAPYRUS... 
* WILL MAKE YOU ALL THE PASTA YOU COULD EVER WANT! 
* HEH HEH HEH HEHHEH HEH NYEH! 
* HEY! 
* IT'S THE HUMAN! 
* YOU'RE GONNA LOVE THIS PUZZLE! 
* IT WAS MADE BY THE GREAT DR. ALPHYS!
* YOU SEE THESE TILES!? 
* ONCE I THROW THIS SWITCH... 
* THEY WILL BEGIN TO CHANGE COLOR! 
* EACH COLOR HASA DIFFERENT FUNCTION!
* RED TILES ARE IMPASSABLE!
* YOU CANNOT WALK ON THEM! 
* YELLOW TILES ARE ELECTRIC! 
* THEY WILL ELECTROCUTE YOU! 
* GREEN TILES ARE ALARM TILES! 
* IF YOU STEP ON THEM... 
* YOU WILL HAVE TO FIGHT A MONSTER!! 
* ORANGE TILES ARE ORANGE-SCENTED. 
* THEY WILL MAKE YOU SMELL DELICIOUS! 
